Ball_Type,Ball_Name,Ball_Size,Size_Label,Condition,Mass_kg,Velocity_m_s,Energy_J,Peak_Pressure_kPa,PPSI90_Duration_ms
A1,Thermally Bonded,3,Size 3 (U10),Dry,0.3405,10,17.02,1.343,0.0586
A1,Thermally Bonded,3,Size 3 (U10),Dry,0.3405,14,33.37,2.633,0.1148
A1,Thermally Bonded,3,Size 3 (U10),Dry,0.3405,18,55.16,4.352,0.1897
A1,Thermally Bonded,3,Size 3 (U10),Dry,0.3405,23,90.05,7.105,0.3098
A1,Thermally Bonded,3,Size 3 (U10),Dry,0.3405,28,133.46,10.53,0.4591
A1,Thermally Bonded,3,Size 3 (U10),Dry,0.3405,35,208.54,16.454,0.7174
A1,Thermally Bonded,3,Size 3 (U10),Damp,0.3507,10,17.53,1.383,0.0603
A1,Thermally Bonded,3,Size 3 (U10),Damp,0.3507,14,34.37,2.712,0.1182
A1,Thermally Bonded,3,Size 3 (U10),Damp,0.3507,18,56.81,4.482,0.1954
A1,Thermally Bonded,3,Size 3 (U10),Damp,0.3507,23,92.76,7.318,0.3191
A1,Thermally Bonded,3,Size 3 (U10),Damp,0.3507,28,137.47,10.846,0.4729
A1,Thermally Bonded,3,Size 3 (U10),Damp,0.3507,35,214.79,16.947,0.7389
A1,Thermally Bonded,3,Size 3 (U10),Wet,0.3609,10,18.04,1.424,0.0621
A1,Thermally Bonded,3,Size 3 (U10),Wet,0.3609,14,35.37,2.791,0.1217
A1,Thermally Bonded,3,Size 3 (U10),Wet,0.3609,18,58.47,4.613,0.2011
A1,Thermally Bonded,3,Size 3 (U10),Wet,0.3609,23,95.46,7.532,0.3284
A1,Thermally Bonded,3,Size 3 (U10),Wet,0.3609,28,141.47,11.162,0.4867
A1,Thermally Bonded,3,Size 3 (U10),Wet,0.3609,35,221.05,17.441,0.7604
A1,Thermally Bonded,4,Size 4 (U14),Dry,0.3929,10,19.64,1.55,0.0676
A1,Thermally Bonded,4,Size 4 (U14),Dry,0.3929,14,38.5,3.038,0.1324
A1,Thermally Bonded,4,Size 4 (U14),Dry,0.3929,18,63.64,5.021,0.2189
A1,Thermally Bonded,4,Size 4 (U14),Dry,0.3929,23,103.91,8.198,0.3574
A1,Thermally Bonded,4,Size 4 (U14),Dry,0.3929,28,154.0,12.15,0.5298
A1,Thermally Bonded,4,Size 4 (U14),Dry,0.3929,35,240.62,18.985,0.8277
A1,Thermally Bonded,4,Size 4 (U14),Damp,0.4046,10,20.23,1.596,0.0696
A1,Thermally Bonded,4,Size 4 (U14),Damp,0.4046,14,39.65,3.129,0.1364
A1,Thermally Bonded,4,Size 4 (U14),Damp,0.4046,18,65.55,5.172,0.2255
A1,Thermally Bonded,4,Size 4 (U14),Damp,0.4046,23,107.03,8.444,0.3682
A1,Thermally Bonded,4,Size 4 (U14),Damp,0.4046,28,158.62,12.515,0.5456
A1,Thermally Bonded,4,Size 4 (U14),Damp,0.4046,35,247.84,19.555,0.8526
A1,Thermally Bonded,4,Size 4 (U14),Wet,0.4164,10,20.82,1.643,0.0716
A1,Thermally Bonded,4,Size 4 (U14),Wet,0.4164,14,40.81,3.22,0.1404
A1,Thermally Bonded,4,Size 4 (U14),Wet,0.4164,18,67.46,5.323,0.2321
A1,Thermally Bonded,4,Size 4 (U14),Wet,0.4164,23,110.14,8.69,0.3789
A1,Thermally Bonded,4,Size 4 (U14),Wet,0.4164,28,163.24,12.879,0.5615
